subject_name
Anatomy
Anesthesiology
Biochemistry
Dermatology
ENT
Forensic Medicine
Medicine
Microbiology
OBG
Ophthalmology
Orthopaedics
Pathology
Pediatrics
Pharmacology
Physiology
Psychiatry
Radiology
SPM
Surgery
