subject_name
Anatomy
Physiology
Biochemistry
Pharmacology
Pathology
Microbiology
Forensic Medicine
SPM
Ophthalmology
ENT
Medicine
Surgery
Pediatrics
OBG
Orthopaedics
Radiology
Dermatology
Psychiatry
Anesthesiology
